Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image
Manish Malhotra,@algotradingdesk,2023-09-26T23:59:08.000Z,True,Opening Bell Nifty on 27 Sep 2023 ? #nifty #nifty50 #OptionsTrading #Optionselling #algo #algotrading,0,0,0,142,"['#nifty', '#nifty50', '#OptionsTrading', '#Optionselling', '#algo', '#algotrading']",[],[],https://pbs.twimg.com/profile_images/1525629986618494976/Y1MsuzOS_normal.jpg
Magicbullindia,@Magicbullindia,2023-09-26T23:52:00.000Z,True,"#nifty50 
Our target is clean cut 18500
But nothing goes one way always remember.....",7,5,141,13.5K,['#nifty50'],[],[],https://pbs.twimg.com/profile_images/1571895381285539841/yp8JpCSk_normal.jpg
Jatin Trivedi,@JatinTrivedi26,2023-09-26T23:28:09.000Z,False,"#sakumaexport #swingSakuma Exports 
Cmp 21.90
Stock is breaking out after almost 3 years
Looking good to me..#nifty50 #banknifty #BreakoutStock #Bullish #StockportCounty #StockMarket #StocksToBuy 

Dism: Educational purpos only..",0,0,2,425,"['#sakumaexport', '#swing', '#nifty50', '#banknifty', '#BreakoutStock', '#Bullish', '#StockportCounty', '#StockMarket', '#StocksToBuy']",[],[],https://pbs.twimg.com/profile_images/1627295431557521408/ZGPn-Fas_normal.jpg
Zakapedia,@aleemzaheer,2023-09-26T23:18:26.000Z,False,Trade Setup for September 27: Charts project Nifty 50 to remain rangebound till F&O expiry - CNBCTV18,0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1491466099510038536/_z3tF6Ec_normal.jpg
NextTrader,@next_trader495,2023-09-26T21:35:48.000Z,False,"Ultratech cement Looking Bullish
Current Cmp : 8228#nifty50 #nifty50trade #Bullish",0,0,0,38,"['#nifty50', '#nifty50trade', '#Bullish']",[],[],https://pbs.twimg.com/profile_images/1705321406559580160/DJ07FY8M_normal.jpg
シンチャオ︰三菱UFJ全力少年(Lv35),@Nifty50JEPI1489,2023-09-26T21:30:11.000Z,False,今日のアメリカ市場はダウ､NASDAQ､S&P500いずれも大幅下落､日経先物､日経ドル換算も同じく下落ドル円相場も149円台の円安到達為替介入あるか今日は権利付き最終日で配当金や株主優待を受け取る権利が貰える日なのに、いったいどうなる日経平均株価､TOPIX,1,0,94,"2,666",[],[],"['\\U0001f628', '\\u203c\\ufe0f', '\\u2049\\ufe0f', '\\u203c\\ufe0f']",https://pbs.twimg.com/profile_images/1613035622637400064/aCQEOj87_normal.jpg
Sanjeet Prasad,@sanjeet11630331,2023-09-26T21:25:53.000Z,False,Long nifty 50 india stock market is doing superb across the globe,2,0,0,127,[],[],[],https://pbs.twimg.com/profile_images/1337768199614394375/7ZsP5gYp_normal.jpg
3V Capital - Trades,@3vCapital,2023-09-26T20:58:26.000Z,True,IMO: Names like ‘the magnificent 7’ and nifty 50 are closer to the end of outperformance than the beginning of it,1,0,0,191,[],[],[],https://pbs.twimg.com/profile_images/1614297687125331969/0GEVDdBc_normal.jpg
Money Matrix,@MoneyMatrixI,2023-09-26T20:32:15.000Z,False,26th Sep trend of S&P BSE SmallCap #nifty50 #NiftyBank #sharemarket #sharemarket,0,0,0,36,"['#nifty50', '#NiftyBank', '#sharemarket', '#sharemarket']",[],[],https://pbs.twimg.com/profile_images/1706764018281816064/F8ewRUWq_normal.png
Money Matrix,@MoneyMatrixI,2023-09-26T20:30:00.000Z,False,26th Sep trend of Nifty Bank#nifty50 #NiftyBank #sharemarket #sharemarket,0,0,0,38,"['#nifty50', '#NiftyBank', '#sharemarket', '#sharemarket']",[],[],https://pbs.twimg.com/profile_images/1706764018281816064/F8ewRUWq_normal.png
