Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image
DN Choudhry,@choudhry_dn,2023-09-28T06:23:38.000Z,False,Nifty Today.#Optionselling #Nifty#StockMarket #nifty50 #NiftyBank #Sensex#Nasdaq #Dowjones#stockmarketcrash ,4,19,98,33.7K,"['#Optionselling', '#Nifty', '#StockMarket', '#nifty50', '#NiftyBank', '#Sensex', '#Nasdaq', '#Dowjones', '#stockmarketcrash']",[],"['\\U0001f60a', '\\U0001f607', '\\U0001f60e', '\\U0001f53b']",https://pbs.twimg.com/profile_images/1633455469296599042/SL6qFo90_normal.jpg
ViPiN,@AlgoBoffin,2023-09-26T16:04:53.000Z,True,"If you are a stock market expert then please ignore...#Nifty50 may kiss 12000 almost, and #BankNifty may kiss 26500 almost by may 2024.",189,53,427,132.6K,"['#Nifty50', '#BankNifty']",[],['\\U0001f609'],https://pbs.twimg.com/profile_images/1607407092222287874/IFQHZVmH_normal.jpg
DN Choudhry,@choudhry_dn,2023-09-25T11:13:03.000Z,False,Bank Nifty Today.#StockMarket #nifty50#stockmarkets #Nifty#NiftyBank #Sensex#stockmarketcrash,1,9,34,17.9K,"['#StockMarket', '#nifty50', '#stockmarkets', '#Nifty', '#NiftyBank', '#Sensex', '#stockmarketcrash']",[],"['\\U0001f60a', '\\U0001f60e']",https://pbs.twimg.com/profile_images/1633455469296599042/SL6qFo90_normal.jpg
ET Money,@ETMONEY,2023-09-27T14:52:53.000Z,True,"NIFTY 50 has given ~16% return in the past 6 months.

But is the rally driven by fundamentals or sentiments alone?

We looked at 4 different valuation metrics to find out if markets are overvalued right now.

The result: You need to be cautious.

A thread ",12,84,584,116.4K,[],[],['\\U0001f9f5'],https://pbs.twimg.com/profile_images/1588525234080354304/mCOEeVT3_normal.jpg
Neha Singhal,@livetradewithme,2023-09-29T12:10:51.000Z,False,Family after watching PNL#nifty50 #Sensex #Finnifty #nseindia #NiftyFifty #Taxaudit Futures #VerifiedBySensibull 500 USDT #StocksToBuy #Vedanta,2,8,47,11.8K,"['#nifty50', '#Sensex', '#Finnifty', '#nseindia', '#NiftyFifty', '#Taxaudit', '#VerifiedBySensibull', '#StocksToBuy', '#Vedanta']",[],"['\\U0001f46a', '\\U0001f923', '\\U0001f603', '\\U0001f923']",https://pbs.twimg.com/profile_images/1685471354173403136/y6a5vMhB_normal.jpg
Magnum,@logical_traderr,2023-09-26T15:02:20.000Z,False,"#RPEL #investingBUY: 495- 530

TARGET - 700/1000++

SL - 430 (FOR swing trader)#breakoutstocks #stockmarkets #StockMarketindia  #nifty50  #zerodha #StocksToBuy #stockstowatch #StocksToBuy",1,3,9,721,"['#RPEL', '#investing', '#breakoutstocks', '#stockmarkets', '#StockMarketindia', '#nifty50', '#zerodha', '#StocksToBuy', '#stockstowatch', '#StocksToBuy']","['@sunilgurjar01', '@dmdsplyinvestor']",[],https://pbs.twimg.com/profile_images/1701239582275088385/p1i5QuqP_normal.jpg
Amey Kadam,@AmeyKadam24,2023-09-30T17:00:01.000Z,False,"#Bajajfinance 
Rectangle Pattern on weekly chart
Stock has consolidated in 7900-5550 range

Keep a close watch on CMPIf stock breaks this resistance level 7900 on upside, it will be a fresh long time Uptrend in #Bajafinance#StockToWatch #investment #stockmarkets #nifty50",2,3,0,349,"['#Bajajfinance', '#Bajafinance', '#StockToWatch', '#investment', '#stockmarkets', '#nifty50']",[],"['\\U0001f440', '\\U0001f3af', '\\U0001f7e2']",https://pbs.twimg.com/profile_images/1695620463274409984/W4mDBEs-_normal.jpg
Trishul Devadiga,@TrishulDevadig1,2023-09-30T08:03:17.000Z,False,Turn the tables with Positional Trades. #IOB #CSBBANK #MARALOVER #PURVA#nifty50 #economy #CryptoDisplayio #Positional #trades #BREAKOUTSTOCKS #stocks #StocksInFocus #StockMarket,2,8,15,"3,339","['#IOB', '#CSBBANK', '#MARALOVER', '#PURVA', '#nifty50', '#economy', '#CryptoDisplayio', '#Positional', '#trades', '#BREAKOUTSTOCKS', '#stocks', '#StocksInFocus', '#StockMarket']",[],[],https://pbs.twimg.com/profile_images/1697544332197396480/VFdnuMK1_normal.jpg
DN Choudhry,@choudhry_dn,2023-09-27T16:42:09.000Z,False,Market Before & After Introduction of Every Day Expiries.#Optionselling #Nifty#StockMarket #nifty50 #NiftyBank #Sensex#Nasdaq #Dowjones#stockmarketcrash ,0,4,12,"6,804","['#Optionselling', '#Nifty', '#StockMarket', '#nifty50', '#NiftyBank', '#Sensex', '#Nasdaq', '#Dowjones', '#stockmarketcrash']",[],"['\\U0001f600', '\\U0001f60a', '\\U0001f60e', '\\U0001f53b']",https://pbs.twimg.com/profile_images/1633455469296599042/SL6qFo90_normal.jpg
Deepak kumar Biswal.,@Deepakbiswal22,2023-09-28T13:09:39.000Z,True,"India Vix touching 13 after a long time.
Option Traders #nifty50",0,1,0,44,['#nifty50'],[],[],https://pbs.twimg.com/profile_images/1689451902793338880/1rWntLQS_normal.jpg
